pos_X	pos_y	c_theta	goal_X	goal_y	d_theta
-51.261204917012854	-14.966051391756483	0.7005205227293244	67.0	94.0	0
-43.61613737965159	-8.519894214865356	0.7597430153365763	67.0	94.0	0
-36.36600708914995	-1.632542708607625	0.7909580884824565	67.0	94.0	0
-29.334362974890027	5.477730215155131	0.806084732120748	67.0	94.0	0
-22.41107378238371	12.693550803066476	0.8117820236272414	67.0	94.0	0
-15.529007362492868	19.948698064990996	0.8117689525267436	67.0	94.0	0
-8.646846110430955	27.203755370113928	0.8081039413668964	67.0	94.0	0
-1.738141273506563	34.43354080788852	0.801890972951511	67.0	94.0	0
5.215348362063051	41.62026341892799	0.7936652274296415	67.0	94.0	0
12.227718237034402	48.74954590292273	0.7835944317746767	67.0	94.0	0
19.311528847931218	55.80784791041332	0.7715653666672646	67.0	94.0	0
26.479729683764308	62.78042969746765	0.7571810464245526	67.0	94.0	0
33.74748134163663	69.64918401244313	0.73965036231255	67.0	94.0	0
41.134524042169424	76.38948075223918	0.7174672404430067	67.0	94.0	0
48.207700600694864	82.56151157644966	0.6875004802584281	67.0	94.0	0
53.308354085386185	86.74987546951101	0.6444776423481952	67.0	94.0	0
57.02389038216842	89.5422011395542	0.5900837900262138	67.0	94.0	0
59.747591782107	91.36620133824364	0.5261679268198122	12.0	-163.0	0
51.10021206739091	86.34396836181605	1.41261149752521	12.0	-163.0	0
49.524952476740516	76.46881989599217	2.755780056878276	12.0	-163.0	0
58.789881962726184	72.7056986356933	-1.5126034146128182	12.0	-163.0	0
59.37148269790066	62.72262593312098	-1.728018912548637	12.0	-163.0	0
57.80572613264041	52.845966255965735	-1.8417225026732091	12.0	-163.0	0
55.129486697477304	43.21073182780168	-1.8998111485240001	12.0	-163.0	0
51.898378188165054	33.74712058256078	-1.9272427390179665	12.0	-163.0	0
48.40891594309552	24.375693090431618	-1.9376016726627248	12.0	-163.0	0
44.8225646597403	15.040914867443329	-1.9382938176850562	12.0	-163.0	0
41.22975321566652	5.708621155427375	-1.9333538074841412	12.0	-163.0	0
37.68308704907846	-3.641307138563951	-1.9249689403172645	12.0	-163.0	0
34.21494254583876	-13.020644732693308	-1.9143076322495949	12.0	-163.0	0
30.846989254692264	-22.436423544276316	-1.9019697438625067	12.0	-163.0	0
27.595460181851625	-31.893038091167405	-1.8882305128873278	12.0	-163.0	0
24.47416051792277	-41.39343220972678	-1.8731709603619846	12.0	-163.0	0
21.496281063698092	-50.93975265040478	-1.8567447278706215	12.0	-163.0	0
18.67560637512821	-60.53369836117786	-1.8388077032979142	12.0	-163.0	0
16.02746304422006	-70.17669254861605	-1.8191233716991317	12.0	-163.0	0
13.569636375990132	-79.86994216208096	-1.7973483764318683	12.0	-163.0	0
11.323446159504016	-89.61440877197614	-1.7729958661854401	12.0	-163.0	0
9.315200724285102	-99.41068103605305	-1.7453655159783152	12.0	-163.0	0
7.578361818231838	-109.25869558795232	-1.7134130176110123	12.0	-163.0	0
6.157024587631031	-119.15717024200423	-1.6754941948106448	12.0	-163.0	0
5.111957627245511	-129.10241207155823	-1.6288154481464847	12.0	-163.0	0
4.532091867341246	-139.0855857002442	-1.5680860661696563	12.0	-163.0	0
4.552462150748194	-146.60155421651618	-1.4815063616398099	12.0	-163.0	0
5.034265988389413	-151.98315258816422	-1.370221215384841	12.0	-163.0	0
5.813323208368859	-155.81504295682748	-1.2389490374598602	12.0	-163.0	0
6.740015460551461	-158.50430185827514	-1.0924285873852415	12.0	-163.0	0
7.69558566101604	-160.34711821219955	-0.9351826352789742	12.0	-163.0	0
8.596112839827992	-161.56776132653454	-0.7713731766244272	116.0	-42.0	0
1.4265720755967735	-154.5965573250706	-2.1932539151343438	116.0	-42.0	0
7.256907896384813	-146.47207677448546	1.9291010386751086	116.0	-42.0	0
3.7500367658820157	-137.10714992618355	1.3855036686143825	116.0	-42.0	0
5.592378665694064	-127.2783261753883	1.07935390105292	116.0	-42.0	0
10.311359643373383	-118.46179519476442	0.9014013376327383	116.0	-42.0	0
16.51647617147769	-110.61982293820506	0.7951655814327369	116.0	-42.0	0
23.518141710309376	-103.48002744517188	0.7296842469150842	116.0	-42.0	0
30.971991023698507	-96.81368433869376	0.687524288124382	116.0	-42.0	0
38.70018634878678	-90.46742583329991	0.6586966435557878	116.0	-42.0	0
